Squeezielive,"[{'id': '265881393', 'user_id': '52130765', 'user_name': 'Squeezielive', 'game_id': '490377', 'type': 'live', 'title': 'Squeezie ► La grosse soirée ! (ft. Locklear)', 'viewer_count': 12977, 'started_at': '2019-12-05T19:05:14Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_squeezielive-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}]"
Gotaga,"[{'id': '266049873', 'user_id': '24147592', 'user_name': 'Gotaga', 'game_id': '33214', 'type': 'live', 'title': '[FR] GOTAGA ► LAST CHANCE POUR LA FINALE A PARIS !', 'viewer_count': 12712, 'started_at': '2019-12-05T19:30:44Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gotaga-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Domingo,[]
TheKAIRI78,[]
WankilStudio,[]
Joueur_du_Grenier,[]
Sardoche,"[{'id': '264767393', 'user_id': '50795214', 'user_name': 'Sardoche', 'game_id': '492535', 'type': 'live', 'title': 'SARDOCHE - CHAPITRE FINAL - DLC HARDCORE - ONESHOT', 'viewer_count': 2160, 'started_at': '2019-12-05T16:01:57Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_sardoche-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
JLTomy,[]
ZeratoR,"[{'id': '266472305', 'user_id': '41719107', 'user_name': 'ZeratoR', 'game_id': '509862', 'type': 'live', 'title': ""We Were Here Together avec Flora. (On a pas le t'chat car les gens backseat trop)"", 'viewer_count': 5355, 'started_at': '2019-12-05T20:38:43Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zerator-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
EsportZoneLiveTV,[]
mistermv,"[{'id': '266669521', 'user_id': '28575692', 'user_name': 'mistermv', 'game_id': '513143', 'type': 'live', 'title': ""(FR) TFT classé - GOLD I - Let's go Platine !"", 'viewer_count': 6759, 'started_at': '2019-12-05T21:18:50Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mistermv-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Locklear,"[{'id': '36356231520', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '490377', 'type': 'live', 'title': '2 BOOMER EN GALERE ft Squeezie', 'viewer_count': 6007, 'started_at': '2019-12-05T19:05:15Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}]"
Xari,[]
FortniteFR,[]
lestream,[]
Cyprienlive,[]
StreamBox,[]
Laink,[]
BruceGrannec,[]
FuzeIII,[]
Terracid,[]
CYRILmp4,[]
Solary,"[{'id': '263334625', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '513143', 'type': 'live', 'title': 'KATARE TFT PUIS SOLOQ QUAND LE CHAUFFAGE REMARCHE !! (peut etre BRR et wow plus tard)', 'viewer_count': 2071, 'started_at': '2019-12-05T08:05:29Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
SolaryFortnite,[]
Jirayalecochon,[]
iProMx,[]
LeFrenchRestream,[]
Anas_Off,[]
brusselschallenge,[]
PlayHearthstoneFR,[]
RocKy_,[]
YoMax,[]
FantaBobShow,"[{'id': '266937009', 'user_id': '29188740', 'user_name': 'FantaBobShow', 'game_id': '16169', 'type': 'live', 'title': 'Aperçu des locaux de la fameuse chaîne Youtube de Bob Lennon !! En Exclu !', 'viewer_count': 1591, 'started_at': '2019-12-05T22:29:43Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_fantabobshow-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
RebeuDeter,[]
robert87000,[]
Kamet0,"[{'id': '266436993', 'user_id': '27115917', 'user_name': 'Kamet0', 'game_id': '30921', 'type': 'live', 'title': 'VROUMMM VIN DIESEL SUR ROCKET LEAGUE VROUMMM !!! #RAPIDEETFURIEUX #NEEDFORSPEED #DEMONRENARD #SEEYOUAGAIN', 'viewer_count': 2876, 'started_at': '2019-12-05T20:32:22Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_kamet0-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
dreamhackcsgo_fr,[]
AlphaCast,"[{'id': '265615681', 'user_id': '94435040', 'user_name': 'AlphaCast', 'game_id': '509658', 'type': 'live', 'title': 'Chilling, positivité ! Anymal samedi !', 'viewer_count': 1127, 'started_at': '2019-12-05T18:26:04Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_alphacast-{width}x{height}.jpg', 'tag_ids': ['69318d09-f132-4853-b4b6-09a0580f7092', '6f655045-9989-4ef7-8f85-1edcec42d648', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}]"
Doigby,[]
JulienChieze,[]
LyoneSportTV,[]
michou_twitch,[]
Pauleta_Youtubeur,[]
Alderiate,[]
Mushway,"[{'id': '266144401', 'user_id': '81432617', 'user_name': 'Mushway', 'game_id': '33214', 'type': 'live', 'title': 'MUSHWAY | FORTNITE GRIND  [DAY 15/30]  1500 SUBS = LIVE 12h💫 (!ping !utip) CODE MUSHWAY', 'viewer_count': 1431, 'started_at': '2019-12-05T19:45:31Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_mushway-{width}x{height}.jpg', 'tag_ids': ['fd8f5e68-42d3-4544-a273-5fc92dabc568', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '6f655045-9989-4ef7-8f85-1edcec42d648']}]"
