Squeezielive,"[{'id': '297329873', 'user_id': '52130765', 'user_name': 'Squeezielive', 'game_id': '27471', 'type': 'live', 'title': 'Squeezie ► La grosse soirée ! (ft. Doigby, Locklear, Maghla, Gotaga, Mickalow)', 'viewer_count': 2914, 'started_at': '2019-12-12T19:21:02Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_squeezielive-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Gotaga,"[{'id': '296857809', 'user_id': '24147592', 'user_name': 'Gotaga', 'game_id': '497451', 'type': 'live', 'title': '[FR] GOTAGA ►  Road to TOP 1000 !', 'viewer_count': 7497, 'started_at': '2019-12-12T18:08:43Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gotaga-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Domingo,"[{'id': '297154657', 'user_id': '40063341', 'user_name': 'Domingo', 'game_id': '509658', 'type': 'live', 'title': 'On discute et ensuite Firewatch !', 'viewer_count': 6672, 'started_at': '2019-12-12T18:55:52Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_domingo-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
TheKAIRI78,"[{'id': '297153041', 'user_id': '26144032', 'user_name': 'TheKAIRI78', 'game_id': '494082', 'type': 'live', 'title': 'VISAGE JEUX HORREUR', 'viewer_count': 3266, 'started_at': '2019-12-12T18:55:39Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_thekairi78-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e']}]"
WankilStudio,[]
Joueur_du_Grenier,[]
Sardoche,[]
JLTomy,[]
ZeratoR,"[{'id': '296753425', 'user_id': '41719107', 'user_name': 'ZeratoR', 'game_id': '509658', 'type': 'live', 'title': 'On discute de SARDOCHE et du GamePass Challenge (qui commence Samedi à 10h)', 'viewer_count': 26842, 'started_at': '2019-12-12T17:53:19Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_zerator-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
EsportZoneLiveTV,[]
mistermv,[]
Locklear,"[{'id': '36402728752', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '509658', 'type': 'live', 'title': 'LOUP GAROU AVEC LA SQUEEZIE SQUAD', 'viewer_count': 4720, 'started_at': '2019-12-12T19:10:08Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Xari,[]
FortniteFR,[]
lestream,"[{'id': '294679249', 'user_id': '147337432', 'user_name': 'lestream', 'game_id': '417752', 'type': 'live', 'title': 'FIFA TEAM OF THE YEAR | lestream', 'viewer_count': 4027, 'started_at': '2019-12-12T05:30:20Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lestream-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Cyprienlive,[]
StreamBox,[]
Laink,[]
BruceGrannec,[]
FuzeIII,[]
Terracid,[]
CYRILmp4,[]
