Squeezielive,"[{'id': '328921201', 'user_id': '52130765', 'user_name': 'Squeezielive', 'game_id': '509658', 'type': 'live', 'title': 'Squeezie ► La grosse soirée Viewers par Coca-Cola ! (ft. Locklear, Lutti)', 'viewer_count': 15856, 'started_at': '2019-12-19T18:57:24Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_squeezielive-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}]"
Gotaga,"[{'id': '328183649', 'user_id': '24147592', 'user_name': 'Gotaga', 'game_id': '33214', 'type': 'live', 'title': '[FR] GOTAGA ► TWITCH COMMUNITY CHARITY SHOWDOWN !!! (Je ne joue plus au jeu, ne jugez pas ma nullité svp)', 'viewer_count': 11556, 'started_at': '2019-12-19T16:50:05Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gotaga-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Domingo,"[{'id': '328565121', 'user_id': '40063341', 'user_name': 'Domingo', 'game_id': '512070', 'type': 'live', 'title': 'Bonsoir - Très la rage !', 'viewer_count': 6107, 'started_at': '2019-12-19T17:57:28Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_domingo-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
TheKAIRI78,[]
WankilStudio,[]
Joueur_du_Grenier,[]
Sardoche,[]
JLTomy,[]
ZeratoR,[]
EsportZoneLiveTV,[]
mistermv,[]
Locklear,"[{'id': '36450756832', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '509658', 'type': 'live', 'title': 'SOIREE CALVISQUEEZIE', 'viewer_count': 2807, 'started_at': '2019-12-19T19:05:18Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}]"
Xari,"[{'id': '328730833', 'user_id': '88301612', 'user_name': 'Xari', 'game_id': '506342', 'type': 'live', 'title': 'Soirée Hitman préparation speedrun !bestof', 'viewer_count': 1011, 'started_at': '2019-12-19T18:25:00Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_xari-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
FortniteFR,[]
lestream,"[{'id': '326390001', 'user_id': '147337432', 'user_name': 'lestream', 'game_id': '33214', 'type': 'live', 'title': 'TWITCH RIVALS | lestream', 'viewer_count': 1576, 'started_at': '2019-12-19T05:31:50Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lestream-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Cyprienlive,[]
StreamBox,[]
Laink,[]
BruceGrannec,"[{'id': '328799089', 'user_id': '31813025', 'user_name': 'BruceGrannec', 'game_id': '512804', 'type': 'live', 'title': 'DRAFT & PACKS FUT CHAMPIONS ! #SponsoredByEA', 'viewer_count': 3463, 'started_at': '2019-12-19T18:36:49Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_brucegrannec-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
FuzeIII,[]
Terracid,[]
CYRILmp4,[]
Solary,"[{'id': '326286513', 'user_id': '174955366', 'user_name': 'Solary', 'game_id': '21779', 'type': 'live', 'title': ""CHAPI L'APRES MIDI APERO CHAPO"", 'viewer_count': 4256, 'started_at': '2019-12-19T02:53:13Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_solary-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
