time,Squeezielive,Gotaga,Domingo,WankilStudio,Sardoche,ZeratoR,mistermv,Locklear,Xari,lestream,BruceGrannec,Solary,Jirayalecochon,iProMx,FantaBobShow,Kamet0,AlphaCast,Alderiate,AntoineDanielLive,JeelTV,Corobizar,Mickalow,At0mium,Maghla,aypierre,Kenb0gard,TheGuill84,HumilityFR,MrBboy45,Tonton
1575151224.0,0,0,0,0,0,0,964,2901,4783,0,1067,412,0,2024,0,2382,888,0,0,0,0,0,0,0,0,0,0,110,581,0
1575152123.0,0,0,0,0,0,0,1424,0,7649,0,1697,795,0,0,0,1713,0,0,0,0,0,0,0,0,0,0,0,465,1058,0
1575153022.0,0,0,0,0,0,0,1461,0,9930,0,0,963,0,0,0,2087,0,0,0,0,0,0,0,0,0,0,0,692,1225,0
1575153923.0,0,0,0,0,0,0,1480,0,11033,0,0,1092,0,0,0,2263,0,0,0,0,0,0,0,0,0,0,0,853,1343,0
1575154827.0,0,0,0,0,0,0,1442,0,12215,0,0,1382,0,0,0,2385,0,0,0,0,0,0,0,0,0,0,0,0,1428,0
1575155723.0,0,0,0,0,0,0,1463,0,12029,0,0,1519,0,0,0,2304,0,0,0,0,0,0,0,0,0,0,0,0,1476,0
1575156623.0,0,0,0,0,0,0,1354,0,11912,0,0,1894,0,0,0,2224,0,0,0,0,0,0,0,0,0,0,0,0,1489,0
1575157524.0,0,0,0,0,0,0,1293,0,11482,0,0,2064,0,0,0,2095,0,0,0,0,0,0,0,0,0,0,0,0,1724,0
1575158423.0,0,0,0,0,0,0,1134,0,11772,0,0,2005,0,0,0,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575159323.0,0,0,0,0,0,0,0,0,11973,0,0,2243,0,0,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575160223.0,0,0,0,0,0,0,0,0,11561,0,0,2294,0,0,0,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575161126.0,0,0,0,0,0,0,0,0,11343,0,0,2486,0,0,0,2325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575162024.0,0,0,0,0,0,0,0,0,10704,0,0,2905,0,0,0,2335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575162925.0,0,0,0,0,0,0,0,0,9307,0,0,2868,0,0,0,2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575163823.0,0,0,0,0,0,0,0,0,0,0,0,4387,0,0,0,1801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575164722.0,0,0,0,0,0,0,0,0,0,0,0,4942,0,0,0,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575165623.0,0,0,0,0,0,0,0,0,0,0,0,4821,0,0,0,2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575166523.0,0,0,0,0,0,0,0,0,0,0,0,5845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575167423.0,0,0,0,0,0,0,0,0,0,0,0,5503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575168324.0,0,0,0,0,0,0,0,0,0,0,0,5411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575169223.0,0,0,0,0,0,0,0,0,0,0,0,5246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575170123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575171023.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575171922.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575172824.0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575173723.0,0,0,0,0,0,0,0,0,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214
1575174624.0,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301
1575175523.0,0,0,0,0,0,0,0,0,0,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380
1575176424.0,0,0,0,0,0,0,0,0,0,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413
1575177323.0,0,0,0,0,0,0,0,0,0,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518
1575178223.0,0,0,0,0,0,0,0,0,0,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596
1575179123.0,0,0,0,0,0,0,0,0,0,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672
1575180023.0,0,0,0,0,0,0,0,0,0,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718
1575180923.0,0,0,0,0,0,0,0,0,0,1072,0,0,0,0,0,0,0,0,0,584,0,0,0,0,0,0,0,0,0,812
1575181824.0,0,0,0,0,0,0,0,0,0,1117,0,742,0,0,0,0,0,0,0,1048,0,0,0,0,0,0,0,0,0,861
1575182723.0,0,0,0,0,0,0,0,0,0,1192,0,955,0,0,0,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,923
1575183624.0,0,0,0,0,0,0,0,0,0,1251,0,1197,0,0,0,0,0,0,0,1549,0,0,0,0,0,0,0,0,0,986
1575184524.0,0,0,0,0,0,0,0,0,0,1347,0,1346,0,0,0,0,0,0,0,1998,0,0,0,0,0,0,0,0,0,1056
1575185422.0,0,0,0,0,0,0,0,0,0,1398,0,1390,0,0,0,0,0,0,0,2270,0,0,0,0,0,0,0,0,0,1022
1575186323.0,0,0,0,0,0,0,0,0,0,1617,0,1464,0,0,0,0,0,0,0,2217,0,0,0,0,0,0,0,0,0,1045
1575187224.0,0,0,0,0,0,0,0,0,0,2177,0,1415,0,0,0,0,0,0,0,1777,0,0,0,0,0,0,0,0,0,1136
1575188123.0,0,0,0,0,0,0,0,0,0,2401,0,1602,0,0,0,0,0,0,0,1465,0,0,0,0,0,0,0,0,0,1131
1575189024.0,0,0,0,0,0,0,0,0,0,2836,0,1854,0,0,0,0,0,0,0,1379,0,0,0,0,0,0,0,0,0,1088
1575189924.0,0,0,0,0,0,0,0,0,0,3020,0,2260,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,1079
1575190824.0,0,0,0,0,0,0,0,0,0,3338,0,2547,0,0,0,0,0,0,0,1467,0,0,0,0,0,0,0,0,0,1114
1575191722.0,0,0,0,0,0,0,0,0,0,3403,0,2415,0,0,0,0,0,0,0,1352,0,0,0,0,0,0,0,0,0,1121
1575192623.0,0,0,0,0,0,0,0,0,0,3915,0,2984,0,0,0,0,0,0,0,1367,0,0,0,0,0,0,0,0,0,1131
1575193523.0,0,0,0,0,0,0,0,0,0,5383,0,2897,0,0,0,0,0,0,0,1353,0,0,0,0,0,0,0,0,0,1071
1575194424.0,0,0,0,0,0,0,0,0,0,5617,0,3419,0,0,0,0,0,0,0,1414,0,0,0,0,0,0,0,0,0,1038
1575195322.0,0,0,0,0,0,0,0,0,0,5851,0,4177,0,0,0,0,0,0,0,1369,0,0,0,0,0,0,0,0,0,1068
1575196227.0,0,0,0,0,0,0,0,0,0,6191,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068
1575197128.0,0,0,0,0,0,0,0,0,0,6058,0,4436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575198024.0,0,0,0,0,0,0,0,0,0,2835,0,5367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575198926.0,0,0,0,0,0,0,0,0,0,2587,0,5489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575199827.0,0,0,0,0,0,0,0,0,0,2439,0,5715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575200724.0,0,0,0,0,0,0,0,0,0,2314,0,4446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575201626.0,0,0,0,0,0,0,0,0,0,2368,0,4608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575202524.0,0,0,0,0,0,0,0,0,0,2300,0,4582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575203423.0,0,0,0,0,0,0,0,0,0,2345,0,4374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575204324.0,0,0,0,0,0,0,0,0,0,3017,0,4556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575205227.0,0,0,0,0,0,0,0,0,0,2754,0,4398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
