Squeezielive,"[{'id': '265881393', 'user_id': '52130765', 'user_name': 'Squeezielive', 'game_id': '509658', 'type': 'live', 'title': 'Squeezie ► La grosse soirée ! (ft. Locklear)', 'viewer_count': 23042, 'started_at': '2019-12-05T19:05:14Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_squeezielive-{width}x{height}.jpg', 'tag_ids': ['2a14b52e-d459-4c92-be11-5d86b898f6b6', '6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Gotaga,"[{'id': '266049873', 'user_id': '24147592', 'user_name': 'Gotaga', 'game_id': '33214', 'type': 'live', 'title': '[FR] GOTAGA ► LAST CHANCE POUR LA FINALE A PARIS !', 'viewer_count': 6097, 'started_at': '2019-12-05T19:30:44Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_gotaga-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Domingo,"[{'id': '265545137', 'user_id': '40063341', 'user_name': 'Domingo', 'game_id': '509658', 'type': 'live', 'title': 'Live Soucis Technique !', 'viewer_count': 6452, 'started_at': '2019-12-05T18:14:44Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_domingo-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
TheKAIRI78,[]
WankilStudio,[]
Joueur_du_Grenier,[]
Sardoche,"[{'id': '264767393', 'user_id': '50795214', 'user_name': 'Sardoche', 'game_id': '492535', 'type': 'live', 'title': 'SARDOCHE - CHAPITRE FINAL - DLC HARDCORE - ONESHOT', 'viewer_count': 3611, 'started_at': '2019-12-05T16:01:57Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_sardoche-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
JLTomy,[]
ZeratoR,[]
EsportZoneLiveTV,[]
mistermv,[]
Locklear,"[{'id': '36356231520', 'user_id': '137347549', 'user_name': 'Locklear', 'game_id': '509658', 'type': 'live', 'title': '2 BOOMER EN GALERE ft Squeezie', 'viewer_count': 4535, 'started_at': '2019-12-05T19:05:15Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_locklear-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648', '2a14b52e-d459-4c92-be11-5d86b898f6b6']}]"
Xari,[]
FortniteFR,[]
lestream,"[{'id': '263205377', 'user_id': '147337432', 'user_name': 'lestream', 'game_id': '490413', 'type': 'live', 'title': 'CLUB YU-GI-OH | lestream', 'viewer_count': 4088, 'started_at': '2019-12-05T05:31:10Z', 'language': 'fr', 'thumbnail_url': 'https://static-cdn.jtvnw.net/previews-ttv/live_user_lestream-{width}x{height}.jpg', 'tag_ids': ['6f655045-9989-4ef7-8f85-1edcec42d648']}]"
Cyprienlive,[]
StreamBox,[]
Laink,[]
